start_jst,home_away,opponent,week,season_type
2000-09-04 05:15,home,NYJ,1,REG
2000-09-11 02:00,away,BUF,2,REG
2000-09-18 02:00,home,PHI,3,REG
2000-09-25 04:05,away,ARI,4,REG
2000-10-02 05:15,home,CHI,5,REG
2000-10-09 02:00,away,DET,6,REG
2000-10-16 05:15,home,SF,7,REG
2000-10-30 03:00,away,MIA,9,REG
2000-11-06 23:00,home,MIN,10,REG
2000-11-13 06:15,away,TB,11,REG
2000-11-20 03:00,home,IND,12,REG
2000-11-27 23:00,away,CAR,13,REG
2000-12-04 10:20,away,CHI,14,REG
2000-12-11 03:00,home,DET,15,REG
2000-12-18 03:00,away,MIN,16,REG
2000-12-25 03:00,home,TB,17,REG
2001-09-10 02:00,home,DET,1,REG
2001-09-24 22:00,home,WAS,2,REG
2001-10-01 02:00,away,CAR,3,REG
2001-10-08 05:15,away,TB,4,REG
2001-10-15 02:00,home,BAL,5,REG
2001-10-22 05:15,away,MIN,6,REG
2001-11-05 03:00,home,TB,8,REG
2001-11-12 03:00,away,CHI,9,REG
2001-11-19 03:00,home,ATL,10,REG
2001-11-23 02:30,away,DET,11,REG
2001-12-03 23:00,away,JAX,12,REG
2001-12-10 03:00,home,CHI,13,REG
2001-12-17 06:15,away,TEN,14,REG
2001-12-24 06:15,home,CLE,15,REG
2001-12-31 03:00,home,MIN,16,REG
2002-01-07 03:00,away,NYG,17,REG
2002-01-14 02:30,home,SF,18,WC
2002-01-21 06:00,away,STL,19,DIV
2002-09-09 02:00,home,ATL,1,REG
2002-09-16 02:00,away,NO,2,REG
2002-09-23 05:15,away,DET,3,REG
2002-09-30 02:00,home,CAR,4,REG
2002-10-07 22:00,away,CHI,5,REG
2002-10-14 02:00,away,NE,6,REG
2002-10-21 05:15,home,WAS,7,REG
2002-11-04 23:00,home,MIA,9,REG
2002-11-11 03:00,home,DET,10,REG
2002-11-18 03:00,away,MIN,11,REG
2002-11-25 06:15,away,TB,12,REG
2002-12-02 03:00,home,CHI,13,REG
2002-12-09 10:30,home,MIN,14,REG
2002-12-16 06:15,away,SF,15,REG
2002-12-23 03:00,home,BUF,16,REG
2002-12-30 06:15,away,NYJ,17,REG
2003-01-05 10:00,home,ATL,18,WC
2003-09-08 02:00,home,MIN,1,REG
2003-09-15 02:00,home,DET,2,REG
2003-09-22 05:05,away,ARI,3,REG
2003-09-29 22:00,away,CHI,4,REG
2003-10-06 02:00,home,SEA,5,REG
2003-10-13 02:00,home,KC,6,REG
2003-10-20 02:00,away,STL,7,REG
2003-11-03 10:30,away,MIN,9,REG
2003-11-10 23:00,home,PHI,10,REG
2003-11-17 06:15,away,TB,11,REG
2003-11-24 03:00,home,SF,12,REG
2003-11-28 02:30,away,DET,13,REG
2003-12-08 03:00,home,CHI,14,REG
2003-12-15 06:15,away,SD,15,REG
2003-12-22 23:00,away,OAK,16,REG
2003-12-29 06:15,home,DEN,17,REG
2004-01-05 03:00,home,SEA,18,WC
2004-01-12 06:45,away,PHI,19,DIV
2004-09-13 22:00,away,CAR,1,REG
2004-09-20 02:00,home,CHI,2,REG
2004-09-27 05:15,away,IND,3,REG
2004-10-04 02:00,home,NYG,4,REG
2004-10-11 22:00,home,TEN,5,REG
2004-10-18 02:00,away,DET,6,REG
2004-10-25 05:15,home,DAL,7,REG
2004-11-01 03:00,away,WAS,8,REG
2004-11-15 06:15,home,MIN,10,REG
2004-11-22 10:30,away,HOU,11,REG
2004-11-29 23:00,home,STL,12,REG
2004-12-06 06:15,away,PHI,13,REG
