start_jst,home_away,opponent,week,season_type
2025-09-08 05:25,home,DET,1,REG
2025-09-12 09:15,home,WAS,2,REG
2025-09-22 02:00,away,CLE,3,REG
2025-09-29 09:20,away,DAL,4,REG
2025-10-13 05:25,home,CIN,6,REG
2025-10-20 05:25,away,ARI,7,REG
2025-10-27 09:20,away,PIT,8,REG
2025-11-03 03:00,home,CAR,9,REG
2025-11-11 10:15,home,PHI,10,REG
2025-11-17 03:00,away,NYG,11,REG
2025-11-24 03:00,home,MIN,12,REG
2025-11-28 03:00,away,DET,13,REG
2025-12-08 06:25,home,CHI,14,REG
2025-12-15 06:25,away,DEN,15,REG
2025-12-21 10:20,away,CHI,16,REG
2025-12-28 10:00,home,BAL,17,REG
2026-01-05 03:00,away,MIN,18,REG
